,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,21.0,46,12,5.01,US,1612038603
1,quelimane,-17.8786,36.8883,82.4,83,40,3.44,MZ,1612038639
2,vilaka,57.1846,27.6722,21.96,98,87,5.73,LV,1612038639
3,yellowknife,62.456,-114.3525,-14.01,76,75,3.44,CA,1612038605
4,olafsvik,64.8945,-23.7142,22.6,91,1,19.28,IS,1612038352
5,ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,1612038449
6,chokurdakh,70.6333,147.9167,-29.15,86,44,7.49,RU,1612038641
7,saint-philippe,-21.3585,55.7679,78.8,65,0,3.44,RE,1612038641
8,namikupa,-10.8333,39.6,72.43,97,99,5.35,TZ,1612038642
9,shingu,33.7333,135.9833,40.87,76,3,6.98,JP,1612038621
10,atuona,-9.8,-139.0333,78.39,80,11,16.8,PF,1612038642
11,bluff,-46.6,168.3333,48.0,80,99,8.01,NZ,1612038459
12,kainantu,-6.2887,145.8655,62.11,93,100,4.12,PG,1612038642
13,nikolskoye,59.7035,30.7861,28.4,93,75,6.71,RU,1612038642
14,aklavik,68.2191,-135.0107,-20.2,76,75,2.3,CA,1612038643
15,qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,1612038643
16,nantucket,41.2835,-70.0995,21.2,53,1,13.8,US,1612038494
17,georgetown,5.4112,100.3354,80.01,78,20,3.44,MY,1612038643
18,bathsheba,13.2167,-59.5167,82.4,65,20,17.27,BB,1612038643
19,alofi,-19.0595,-169.9187,78.8,89,90,9.22,NU,1612038644
20,kodinsk,58.6881,99.1844,-41.19,78,38,2.75,RU,1612038644
21,kapaa,22.0752,-159.319,73.99,88,75,17.27,US,1612038442
22,hobart,-42.8794,147.3294,55.4,71,20,8.05,AU,1612038450
23,lata,40.1629,-8.3327,55.99,86,43,3.0,PT,1612038644
24,avera,33.194,-82.5271,51.8,40,40,6.91,US,1612038644
25,castro,-24.7911,-50.0119,67.14,96,99,4.23,BR,1612038645
26,lewisporte,49.2499,-55.0482,28.4,93,90,13.8,CA,1612038645
27,ponta delgada,37.7333,-25.6667,63.0,94,75,13.8,PT,1612038645
28,hermanus,-34.4187,19.2345,66.99,82,4,1.01,ZA,1612038645
29,qazvin,36.2797,50.0049,32.0,64,0,2.3,IR,1612038645
30,gibsons,49.3997,-123.5027,44.01,87,100,4.61,CA,1612038645
